district,fort_name,lat,lon,link
Pune,Sinhagad,18.36566389,73.75526944,https://en.wikipedia.org/wiki/Sinhagad
Pune,Torna Fort,18.27607222,73.62271667,https://en.wikipedia.org/wiki/Torna_Fort
Pune,Tung Fort,18.660273,73.463142,https://en.wikipedia.org/wiki/Tung_Fort
Raigad,Avchitgad,18.47411111,73.11863889,https://en.wikipedia.org/wiki/Avchitgad
Raigad,Birwadi fort,18.4241,73.0413,https://en.wikipedia.org/wiki/Birwadi_fort
Raigad,Kalavantin Durg,18.98284,73.219892,https://en.wikipedia.org/wiki/Kalavantin_Durg
Raigad,Mangad Fort,18.312113,73.350877,https://en.wikipedia.org/wiki/Mangad_Fort
Raigad,Murud-Janjira,18.299589,72.964425,https://en.wikipedia.org/wiki/Murud-Janjira
Raigad,Padmadurg,18.322135,72.932755,https://en.wikipedia.org/wiki/Padmadurg
Raigad,Prabalgad,18.971193,73.225293,https://en.wikipedia.org/wiki/Prabalgad
Raigad,Raigad Fort,18.2335,73.4406,https://en.wikipedia.org/wiki/Raigad_Fort
Raigad,Sarasgad,18.557,73.2182,https://en.wikipedia.org/wiki/Sarasgad
Raigad,Sudhagad,18.54,73.32,https://en.wikipedia.org/wiki/Sudhagad
Raigad,Surgad,18.45338889,73.22616667,https://en.wikipedia.org/wiki/Surgad
Ratnagiri,Anjanvel Fort,17.57147222,73.15180556,https://en.wikipedia.org/wiki/Anjanvel_Fort
Ratnagiri,Bankot fort,17.97322222,73.04252778,https://en.wikipedia.org/wiki/Bankot_fort
Palghar,Dativare fort,19.51416667,72.77222222,https://en.wikipedia.org/wiki/Dativare_fort
Ratnagiri,Fattegad,17.81552778,73.09061111,https://en.wikipedia.org/wiki/Fattegad
Ratnagiri,Goa Fort,17.81552778,73.09061111,https://en.wikipedia.org/wiki/Goa_Fort
Ratnagiri,Purnagad,16.80802778,73.31491667,https://en.wikipedia.org/wiki/Purnagad
Ratnagiri,Ratnagiri Fort,16.99619444,73.27027778,"https://en.wikipedia.org/wiki/Ratnagiri_Fort,_Maharashtra"
Ratnagiri,Vijaygad Fort,17.30411111,73.24069444,https://en.wikipedia.org/wiki/Vijaygad_Fort
Sindhudurg,Nivati fort,15.939,73.51163889,https://en.wikipedia.org/wiki/Nivati_fort
Sindhudurg,Sindhudurg Fort,16.043769,73.461416,https://en.wikipedia.org/wiki/Sindhudurg_Fort
Satara,Bhushangad,17.4648,74.4063,https://en.wikipedia.org/wiki/Bhushangad
Satara,Jangali Jayagad,17.45355556,73.69377778,https://en.wikipedia.org/wiki/Jangali_Jayagad
Satara,Kamalgad,17.96727778,73.74519444,https://en.wikipedia.org/wiki/Kamalgad
Satara,Makrandgad,17.84933333,73.60338889,https://en.wikipedia.org/wiki/Makrandgad
Satara,Pratapgad,17.936224,73.577607,https://en.wikipedia.org/wiki/Pratapgad
Satara,Sajjangad,17.64956298,73.91216813,https://en.wikipedia.org/wiki/Sajjangad
Satara,Vandan Fort,17.83908333,74.03480556,https://en.wikipedia.org/wiki/Vandan_Fort
Nagpur,Sitabuldi Fort,21.14833333,79.085,https://en.wikipedia.org/wiki/Sitabuldi_Fort
